Date,Open,High,Low,Close,Volume
2025-07-20,150.00,152.00,149.00,151.00,1000000
2025-07-21,151.20,153.50,150.50,152.80,1100000
2025-07-22,152.90,155.00,152.00,154.30,1200000
2025-07-23,154.50,156.00,153.00,155.00,1300000
2025-07-24,155.20,157.50,154.50,156.70,1400000
2025-07-25,157.00,158.00,155.00,157.50,1500000
2025-07-26,157.80,160.00,157.00,159.00,1600000
2025-07-27,159.20,161.00,158.50,160.50,1700000
2025-07-28,160.70,162.00,159.00,161.00,1800000
2025-07-29,161.50,163.00,160.00,162.50,1900000
